stop_code,name,latitude,longitude
STOP_BADSHAHPUR,Badshahpur,28.405,77.049
STOP_POWER_COLONY_AIRIA_MALL_SECTOR_68,Power Colony / Airia Mall Sector - 68,28.388,77.058
STOP_BHONDSI_JAIL_MODE,Bhondsi Jail Mode,28.389,77.055
STOP_SECTOR_68_B_S_F_CAMP,Sector - 68 / B.S.F. Camp,28.385,77.056
STOP_RAYAN_ENCLAVE_MOHAN_NAGAR,Rayan Enclave / Mohan Nagar,28.382,77.05
STOP_MARUTI_KUNJ_MODE,Maruti Kunj Mode,28.344,77.033
STOP_BHONDSI,Bhondsi,28.389,77.052
STOP_BHONDSI_POLICE_CHOWKI,Bhondsi Police Chowki,28.39,77.049
STOP_DARBARIPUR_MOD_BADSHAPUR,Darbaripur Mod Badshapur,28.391,77.049
STOP_JACOBPURA_LAJPAT_NAGAR,Jacobpura Lajpat Nagar,28.462,77.024
STOP_JACOBPURA_MIYAN_WALI_COLONY,Jacobpura Miyan Wali Colony,28.46,77.02
STOP_BHIM_NAGAR_CHOWK,Bhim Nagar Chowk,28.473,77.018
STOP_SECTOR_7_BHIM_NAGAR,Sector - 7 / Bhim Nagar,28.473,77.015
STOP_SECTOR_4_SECTOR_7_CHOWK,Sector - 4 / Sector - 7 Chowk,28.473193,77.017129
STOP_SECTOR_4_SECTOR_7_AND_SECTOR_7_EXT,Sector - 4 / Sector - 7 and Sector - 7 Ext,28.470172,77.008933
STOP_SECTOR_9_ESIC_HOSPITAL,Sector - 9 ESIC Hospital,28.4674647,77.0008678
STOP_SECTOR_9_9A,Sector - 9/9A,28.465541,76.9957882
STOP_CIVIL_HOSPITAL_SECTOR_9_GOVT_COLLEGE_SECTOR_9,Civil Hospital Sector 9/Govt. College Sector 9,28.457142,76.996759
STOP_BASAI_CHOWK,Basai Chowk,28.468,76.992
STOP_BASAI_VILLAGE,Basai Village,28.467,76.984
STOP_BASAI_DHANKOT_RAILWAY_STATION,Basai Dhankot Railway Station,28.466288,76.974171
STOP_SECTOR_100_DWARKA_EXPRESSWAY,Sector- 100 Dwarka Expressway,28.493,77.01
STOP_SECTOR_99_100_DWARKA_EXPRESSWAY_FOB,Sector- 99/100 Dwarka Expressway FOB,28.494,77.008
STOP_SECTOR_37D_DWARKA_EXPRESSWAY,Sector- 37D Dwarka Expressway,28.469,77.005
STOP_SECTOR_37D_88A_88B_DWARKA_EXPRESSWAY_FOB,Sector- 37D/88A-88B Dwarka Expressway FOB,28.468,77.012
STOP_DWARKA_EXPRESSWAY_HARSARU_VILLAGE,Dwarka Expressway Harsaru Village,28.430463,76.962146
STOP_HARSARU_VILLAGE,Harsaru Village,28.430463,76.962146
STOP_GHARI_MODE,Ghari Mode,28.4384,77.0362
STOP_SALIG_KI_DHANI,Salig Ki Dhani,28.452675,77.0389
STOP_HAYATPUR_IMT_MODE,Hayatpur (IMT Mode),28.441,76.988
STOP_WAZIRPUR,Wazirpur,28.43,76.985
STOP_WAZIRPUR_T_POINT,Wazirpur-T Point,28.432,76.985
STOP_DHANAWAS,Dhanawas,28.42,76.96
STOP_SAIDPUR_KHETAWAS,Saidpur/Khetawas,28.41,76.95
STOP_MOHAMADPUR,Mohamadpur,28.45,76.885
STOP_FARUKHNAGAR_BUS_STAND,Farukhnagar Bus Stand,28.451049,76.825622
STOP_SECTOR_88A_88B_DWARKA_EXPRESSWAY,Sector- 88A/88B Dwarka Expressway,28.487575,76.998925
STOP_SECTOR_99_DWARKA_EXPRESSWAY,Sector- 99 Dwarka Expressway,28.494,77.008
STOP_BHAWANI_ENCLAVE,Bhawani Enclave,28.4593,77.0321
STOP_BASAI_TALAB,Basai Talab,28.478375,77.00275
STOP_FIROZ_GANDHI_COLONY_2,Firoz Gandhi Colony 2,28.4685827,77.0038302
STOP_PATEL_NAGAR_VYAPAR_KENDRA,Patel Nagar Vyapar Kendra,28.465583,77.039313
STOP_GOVT_GIRLS_COLLEGE_ANAMIKA_ENCLAVE,Govt Girls College Anamika Enclave,28.466988,77.041524
STOP_ITI_COLONY_OLD_DLF,ITI Colony Old DLF,28.469523,77.046086
STOP_CANAL_COLONY,Canal Colony,28.471233,77.049886
STOP_SECTOR_14_IDC,Sector - 14 / IDC,28.4727067,77.0539916
STOP_SUKHRALI_SEC_17_C,Sukhrali/Sec 17 C,28.475177,77.059572
STOP_IFFCO_CHOWK,Iffco Chowk,28.4785138,77.069815
STOP_M_G_ROAD_METRO_STATION,M G Road Metro Station,28.4796,77.0808
STOP_SAHARA_MALL,Sahara Mall,28.48015,77.0854
STOP_SIKANDERPUR_METRO_STATION,Sikanderpur Metro Station,28.4813,77.0924
STOP_IFFCO_CHOWK_A,Iffco Chowk (A),28.478514,77.069815
STOP_SOHNA_CHOWK,Sohna Chowk,28.457512,77.027085
STOP_BHUTESHWAR_MANDIR_CHOWK,Bhuteshwar Mandir Chowk,28.457052,77.024328
STOP_VEER_NAGAR,Veer Nagar,28.4457,77.03435
STOP_SHAKTI_NAGAR,Shakti Nagar,28.443075,77.0348
STOP_SHIV_NAGAR,Shiv Nagar,28.4502,77.047025
STOP_KADIPUR_VILLAGE_SECTOR_10,Kadipur Village / Sector - 10,28.451198,77.004829
STOP_KADIPUR_CHOWK_SECTOR_10A,Kadipur Chowk / Sector - 10A,28.448664,76.998298
STOP_SECTOR_10,Sector - 10,28.452,77.001
STOP_ALPINE_SCHOOL_SECTOR_10_37C,"Alpine School, Sector - 10/37C",28.452,77.002
STOP_AARVY_HOSPITAL_RPS_SCHOOL_SEC_90,Aarvy Hospital/RPS School Sec- 90,28.4481,77.046375
STOP_BADA_VILLAGE_SECTOR_86,"Bada Village , Sector - 86",28.395,77.001
STOP_NTH_86_SECTOR_86,NTH - 86 / Sector - 86,28.395,77.001
STOP_GURUGRAM_UNIVERSITY_SECTOR_87,Gurugram University Sector - 87,28.399,77.002
STOP_GURUGRAM_RAILWAY_STATION,Gurugram Railway Station,28.485545,77.00879
STOP_SECTOR_5_LAXMAN_VIHAR_CHOWK,Sector - 5 Laxman Vihar Chowk,28.479875,77.014813
STOP_SECTOR_4_5,Sector - 4/5,28.476911,77.016278
STOP_BHIM_NAGAR_DAYANAND_COLONY,BHIM NAGAR DAYANAND COLONY,28.473379,77.018478
STOP_NEW_COLONY_BHIM_NAGAR,NEW COLONY/BHIM NAGAR,28.458,77.022
STOP_NEW_COLONY_SUBHASH_NAGAR,NEW COLONY/SUBHASH NAGAR,28.457,77.025
STOP_SUBHASH_NAGAR_PRATAP_NAGAR,SUBHASH NAGAR/PRATAP NAGAR,28.459,77.028
STOP_GURU_DRONACHARYA_METRO_STATION,Guru Dronacharya Metro Station,28.48202,77.10227
STOP_ARAVALLI_BIO_DIVERSITY_PARK,Aravalli Bio Diversity Park,28.474,77.103
STOP_AYA_NAGAR,Aya Nagar,28.47648,77.13228
STOP_KHANPUR,Khanpur,28.45935,77.043925
STOP_SECTOR_4_POLICE_STATION,Sector - 4 Police Station,28.472671,77.0036682
STOP_SURYA_VIHAR,Surya Vihar,28.476675,77.002822
STOP_LAXMAN_VIHAR,Laxman Vihar,28.4782476,77.0074623
STOP_BABA_PRAKASHPURI_CHOWK,Baba Prakashpuri Chowk,28.4816105,77.0160194
STOP_SECTOR_5_CHOWK,Sector - 5 Chowk,28.484307,77.018328
STOP_SECTOR_5_RAMLILA_GROUND,Sector - 5 Ramlila Ground,28.482358,77.022297
STOP_SHEETLA_MATA_MANDIR_B,Sheetla Mata Mandir (B),28.479125,77.031308
STOP_SHEETLA_MATA_MANDIR_A,Sheetla Mata Mandir (A),28.4807,77.03319
STOP_CRPF_CAMP_CHOWK,CRPF Camp Chowk,28.469,77.059
STOP_SANJAY_GRAM,Sanjay Gram,28.47735,77.045664
STOP_PATTHAR_MARKET,Patthar Market,28.473,77.046
STOP_ATUL_KATARIA_CHOWK,Atul Kataria Chowk,28.474,77.036
STOP_AIRFORCE_STATION,Airforce Station,28.48271,77.05909
STOP_SECTOR_17_18_OLD_DELHI_ROAD,Sector - 17/18 Old Delhi Road,28.489497,77.056336
STOP_SECTOR_17B_18,Sector - 17B-18,28.489,77.056
STOP_SBI,SBI,28.461425,77.02925
STOP_IFFCO_CHOWK_FOB_PLATINUM_TOWER,Iffco Chowk FOB / Platinum Tower,28.4785,77.0695
STOP_IFFCO_CHOWK_METRO_STATION_B,Iffco Chowk Metro Station (B),28.479,77.07
STOP_SECTOR_29_POLICE_STATION,Sector - 29 Police Station,28.466,77.063
STOP_HUDA_CITY_CENTRE_METRO_STATION_B,Huda City Centre Metro Station (B),28.4595,77.072
STOP_FORTIS_MEMORIAL_RESEARCH_INSTITUTE_B_HUDA_CITY_CENTRE,Fortis Memorial Research Institute (B)-Huda City Centre,28.457,77.07041
STOP_SECTOR_44,Sector - 44,28.457,77.081
STOP_SECTOR_45_SOUTH_CITY_I,Sector - 45 South City - I,28.434,77.067
STOP_SECTOR_39_45,Sector - 39/45,28.438,77.067
STOP_UNITECH_CYBER_PARK_B,Unitech Cyber Park (B),28.471225,77.0423
STOP_SECTOR_46,Sector - 46,28.435,77.061
STOP_BAKHTAWAR_CHOWK_A,Bakhtawar Chowk (A),28.428,77.089
STOP_SECTOR_38,Sector - 38,28.431,77.064
STOP_SECTOR_38_47_B,Sector - 38/47 (B),28.426,77.064
STOP_SECTOR_38_47_A,Sector - 38/47 (A),28.427,77.067
STOP_CENTRAL_PARK_2,Central Park 2,28.41,77.085
STOP_SECTOR_48_SEZ,Sector - 48 SEZ,28.412,77.057
STOP_SECTOR_33_34_MARBLE_MARKET,Sector - 33/34 Marble Market,28.431,77.012
STOP_SECTOR_34_NAGAR_NIGAM,Sector - 34 Nagar Nigam,28.429,77.017
STOP_HERO_HONDA,Hero Honda,28.4366951,77.0105846
STOP_HERO_HONDA_CHOWK,Hero Honda Chowk,28.4366951,77.0105846
STOP_KHANDSA_CHOWK,Khandsa Chowk,28.442,77.019
STOP_SECTOR_10A_37,Sector - 10A-37,28.444,77.002
STOP_SARASWATI_ENCLAVE,Saraswati Enclave,28.445452,76.990471
STOP_BAKHTAWAR_CHOWK_B,Bakhtawar Chowk (B),28.428,77.091
STOP_UNITECH_CYBER_PARK_A,Unitech Cyber Park (A),28.438,77.065
STOP_SECTOR_40,Sector - 40,28.447,77.065
STOP_FORTIS_MEMORIAL_RESEARCH_INSTITUTE_A_HUDA_CITY_CENTRE,Fortis Memorial Research Institute (A)-Huda City Centre,28.457,77.07041
STOP_MILENNIUM_PLAZA,Milennium Plaza,28.4523,77.047675
STOP_IFFCO_CHOWK_METRO_STATION,Iffco Chowk Metro Station,28.451825,77.04935
STOP_IFFCO_CHOWK_NH48,Iffco Chowk-NH48,28.45625,77.05815
STOP_PASCO_MOTORS,Pasco Motors,28.45185,77.04205
STOP_BABA_PRAKASHPURI_CHOWK_B,Baba Prakashpuri Chowk (B),28.48175,77.016564
STOP_BABA_PRAKASHPURI_CHOWK_A,Baba Prakashpuri Chowk (A),28.480462,77.013716
STOP_SECTOR_33_TRANSPORT_NAGAR,"Sector- 33 , Transport Nagar",28.432,77.015
STOP_NAHARPUR_RUPA_VILLAGE_UNDERPASS_NH_48,Naharpur Rupa Village Underpass - NH 48,28.458225,77.049575
STOP_RAJIV_COLONY_FOB,Rajiv Colony FOB,28.467725,77.04565
STOP_SECTOR_15_PART_I_NH_48,Sector - 15 (Part - I) - NH 48,28.4537403,77.0402653
STOP_SECTOR_15_PART_II_NH_48_STAR_MALL,Sector - 15 (Part - II) - NH 48 / Star Mall,28.4535714,77.040838
STOP_SIGNATURE_TOWER,Signature Tower,28.467675,77.056109
STOP_IFFCO_CHOWK_NH_48,Iffco Chowk - NH 48,28.456675,77.0432
STOP_UDYOG_VIHAR_SECTOR_18C_NH_48,Udyog Vihar / Sector - 18C - NH 48,28.491151,77.081541
STOP_SHYAM_CHOWK,Shyam Chowk,28.495468,77.085764
STOP_SHANKAR_CHOWK_A_NH_48,Shankar Chowk (A) NH 48,28.498324,77.088467
